level0,level1,keywords
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy distribution
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy industries
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy production
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy production
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Flaring
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fossil fuel fires
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fossil fuel phase-out
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fossil fuels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fuel exploitation
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fuel processing
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fuel transformation
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fuels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Fugitive emissions from fuels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Gas
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Geothermal energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Hydrogen storage
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Hydrogen transportation
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Hydropower
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Hyrodgen production
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Lignite
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Liquefaction
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Low-carbon technology
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Metal ore
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Micro wind turbine
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Mining
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Natural gas
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Nuclear
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Nuclear energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Offshore
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil drilling
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil exploration
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil extraction
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil refinery
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Oil well development
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Onshore
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Petroleum
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Power industry
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Quarrying
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Renewable energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Renewables
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Solar energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Solar panels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Solid fuels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Venting
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Cooling
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Electricity
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Electricity distribution
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Electricity subsidies
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Electriciy charges
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Energy efficiency
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Energy performance
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Energy storage
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Energy technology
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Energy use
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Grid flexibility
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Grid modernisation
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Grids
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Heating
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Microgrids
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Power
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Power storage
ENERGY & CARBON CAPTURE AND STORAGE,Energy use,Smartgrids
ENERGY & CARBON CAPTURE AND STORAGE,Carbon capture and storage,Carbon capture
ENERGY & CARBON CAPTURE AND STORAGE,Carbon capture and storage,Carbon storage
ENERGY & CARBON CAPTURE AND STORAGE,Carbon capture and storage,Direct air capture
ENVIRONMENT,Environment,Air pollution
ENVIRONMENT,Environment,Air quality
ENVIRONMENT,Environment,Biodiversity
ENVIRONMENT,Environment,Environment
ENVIRONMENT,Environment,Plastic pollution
ENVIRONMENT,Environment,Water pollution
ENVIRONMENT,Environment,Water quality
FINANCE,Finance,Finance
FINANCE,Finance,Financial disclosure
FINANCE,Finance,Financial regulation
FINANCE,Finance,Green finance
FINANCE,Finance,Investment
HEALTH,Health,Disease
HEALTH,Health,Doctor
HEALTH,Health,Health
HEALTH,Health,Healthcare infrastructure
HEALTH,Health,Hospital
HEALTH,Health,Illness
HEALTH,Health,Injury
HEALTH,Health,Pandemic
HEALTH,Health,Treatment
INDUSTRY,Industry (general),Industry
INDUSTRY,Industrial greenhouse gas emissions,Industrial carbon dioxide
INDUSTRY,Industrial greenhouse gas emissions,Industrial greenhouse gas emissions
INDUSTRY,Industrial greenhouse gas emissions,Industrial nitrous oxide
INDUSTRY,Industrial products,Adipic acid
INDUSTRY,Industrial products,Aerosols
INDUSTRY,Industrial products,Aluminium
INDUSTRY,Industrial products,Anhydrous ammonia
INDUSTRY,Industrial products,Asphalt
INDUSTRY,Industrial products,Beverages
INDUSTRY,Industrial products,Black carbon
INDUSTRY,Industrial products,Carbide
INDUSTRY,Industrial products,Cement
INDUSTRY,Industrial products,Chemicals
INDUSTRY,Industrial products,Clorine
INDUSTRY,Industrial products,Dolomite
INDUSTRY,Industrial products,Ferroalloys
INDUSTRY,Industrial products,Food
INDUSTRY,Industrial products,Food processing
INDUSTRY,Industrial products,Halocarbons
INDUSTRY,Industrial products,Halocarbons
INDUSTRY,Industrial products,Industrial products
INDUSTRY,Industrial products,Iron
INDUSTRY,Industrial products,Leather
INDUSTRY,Industrial products,Lime
INDUSTRY,Industrial products,Limestone
INDUSTRY,Industrial products,Manufacturing
INDUSTRY,Industrial products,Metal production
INDUSTRY,Industrial products,Mineral products
INDUSTRY,Industrial products,Nitric acid
INDUSTRY,Industrial products,Non-ferrous metals
INDUSTRY,Industrial products,Non-metallic minerals production
INDUSTRY,Industrial products,Paper
INDUSTRY,Industrial products,Petrochemicals
INDUSTRY,Industrial products,Plastics manufacturing
INDUSTRY,Industrial products,Pulp
INDUSTRY,Industrial products,Soda ash
INDUSTRY,Industrial products,Solvents
INDUSTRY,Industrial products,Steel
INDUSTRY,Industrial products,Sulphur hexafluoride
INDUSTRY,Industrial products,Textile
INDUSTRY,Industrial products,Tobacco
INDUSTRY,Industrial processes,Combustion for manufacturing
INDUSTRY,Industrial processes,Degreasing
INDUSTRY,Industrial processes,Dry cleaning
INDUSTRY,Industrial processes,Fluorinated gases
INDUSTRY,Industrial processes,Foam blowing
INDUSTRY,Industrial processes,Industrial energy
INDUSTRY,Industrial processes,Industrial processes
INDUSTRY,Industrial processes,Industrial processes
INDUSTRY,Industrial processes,Machinery
INDUSTRY,Industrial processes,Negative emissions
INDUSTRY,Industrial processes,Paint application
INDUSTRY,Industrial processes,Waste CH4
INDUSTRY,Industrial processes,Waste heat
NATURE-BASED SOLUTIONS,Nature-based solutions,Ecosystem-based adaptation
NATURE-BASED SOLUTIONS,Nature-based solutions,Green infrastructure
NATURE-BASED SOLUTIONS,Nature-based solutions,Green space management
NATURE-BASED SOLUTIONS,Nature-based solutions,Living lab
NATURE-BASED SOLUTIONS,Nature-based solutions,Natural capital
NATURE-BASED SOLUTIONS,Nature-based solutions,Urban forestry
NATURE-BASED SOLUTIONS,Nature-based solutions,Urban green infrastructure
OTHER,Other,
PUBLIC SECTOR,Public sector,Public sector
PUBLIC SECTOR,Public sector,Government procurement
PUBLIC SECTOR,Public sector,Government fleet
RURAL,Rural,Rural
SOCIAL DEVELOPMENT,Social development,Social development
TOURISM,Tourism,Tourism
TRANSPORT,Transport (general),Diesel engine
TRANSPORT,Transport (general),Domestic transport
TRANSPORT,Transport (general),Freight transport
TRANSPORT,Transport (general),Gasoline
TRANSPORT,Transport (general),Internal combustion engine
TRANSPORT,Transport (general),Internatioanl transport
TRANSPORT,Transport (general),Interurban transport
TRANSPORT,Transport (general),Local transport
TRANSPORT,Transport (general),Low-carbon transport
TRANSPORT,Transport (general),Low-emission vehicle
TRANSPORT,Transport (general),Off-road transport
TRANSPORT,Transport (general),Passenger transport
TRANSPORT,Transport (general),Personal mobility
TRANSPORT,Transport (general),Petrol engine
TRANSPORT,Transport (general),Pipeline transport
TRANSPORT,Transport (general),Rapid transit
TRANSPORT,Transport (general),Transport
TRANSPORT,Transport (general),Transport demand
TRANSPORT,Transport (general),Vehicle emissions
TRANSPORT,Transport (general),Vehicles
TRANSPORT,Transport (general),Zero-emission vehicle
TRANSPORT,Road transport,Buses
TRANSPORT,Road transport,Cars
TRANSPORT,Road transport,Cycling
TRANSPORT,Road transport,Electric bicyle
TRANSPORT,Road transport,Electric cars
TRANSPORT,Road transport,Lorries
TRANSPORT,Road transport,Minibuses
TRANSPORT,Road transport,Motorcycles
TRANSPORT,Road transport,Road transport
TRANSPORT,Road transport,Trucks
TRANSPORT,Rail transport,High-speed rail
TRANSPORT,Rail transport,Intercity rail
TRANSPORT,Rail transport,Locomotive
TRANSPORT,Rail transport,Rail transport
TRANSPORT,Rail transport,Railways
TRANSPORT,Rail transport,Trains
TRANSPORT,Air transport,Aeroplane
TRANSPORT,Air transport,Air transport
TRANSPORT,Air transport,Airport
TRANSPORT,Air transport,Civil aviation
TRANSPORT,Air transport,International aviation
TRANSPORT,Air transport,Jet fuel
TRANSPORT,Maritime transport,Boat
TRANSPORT,Maritime transport,Maritime transport
TRANSPORT,Maritime transport,Navigation
TRANSPORT,Maritime transport,Ship 
TRANSPORT,Maritime transport,Shipping
TRANSPORT,Transport infrastructure,Airport infrastructure
TRANSPORT,Transport infrastructure,Charging infrastructure
TRANSPORT,Transport infrastructure,Cycling infrastructure
TRANSPORT,Transport infrastructure,Public transport
TRANSPORT,Transport infrastructure,Refueeling infrastructure
TRANSPORT,Transport infrastructure,Road infrasructure
TRANSPORT,Transport infrastructure,Transport infrastructure
URBAN,Urban,Cities
URBAN,Urban,Human settlements
URBAN,Urban,Smart cities
URBAN,Urban,Urban
URBAN,Urban,Urban crowding
URBAN,Urban,Urban infrastructure
WASTE,Waste,Chemical waste
WASTE,Waste,Domestic waste
WASTE,Waste,Dumps
WASTE,Waste,Food waste
WASTE,Waste,Industrial waste
WASTE,Waste,Landfills
WASTE,Waste,Sewerage
WASTE,Waste,Tips
WASTE,Waste,Waste
WASTE,Waste,Waste disposal
WASTE,Waste,Waste incineration
WASTE,Waste,Wastewater
WASTE,Waste,Water waste
WATER,Water,Water
