level0,level1,keywords
DIRECT INVESTMENT,Finance,Finance
DIRECT INVESTMENT,Finance,Financial flows
DIRECT INVESTMENT,Finance,Financial regulation
DIRECT INVESTMENT,Finance,Funding
DIRECT INVESTMENT,Finance,Grants
DIRECT INVESTMENT,Finance,Green finance
DIRECT INVESTMENT,Finance,Interest
DIRECT INVESTMENT,Finance,International climate finance
DIRECT INVESTMENT,Finance,Loan
DIRECT INVESTMENT,Finance,Low-carbon finance
DIRECT INVESTMENT,Ecosystem restoration and nature-based solutions,Ecosystem restoration
DIRECT INVESTMENT,Ecosystem restoration and nature-based solutions,Nature-based solutions
DIRECT INVESMENT,Insurance,Insurance
GOVERNANCE AND PLANNING,Governance and planning (general),Governance
GOVERNANCE AND PLANNING,Governance and planning (general),Planning
GOVERNANCE AND PLANNING,"Monitoring, reporting, verification",Monitoring
GOVERNANCE AND PLANNING,"Monitoring, reporting, verification",Reporting
GOVERNANCE AND PLANNING,"Monitoring, reporting, verification",Verification
GOVERNANCE AND PLANNING,"Monitoring, reporting, verification",Emissions calculation
GOVERNANCE AND PLANNING,"Monitoring, reporting, verification",Emissions accounting
GOVERNANCE AND PLANNING,International cooperation,International cooperation
GOVERNANCE AND PLANNING,International cooperation,Multilateral cooperation
GOVERNANCE AND PLANNING,International cooperation,Bilerateral cooperation
GOVERNANCE AND PLANNING,International cooperation,Diplomacy
GOVERNANCE AND PLANNING,Creating bodies/institutions,Advisory body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Bodies
GOVERNANCE AND PLANNING,Creating bodies/institutions,Capacity-building body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Co-ordinating body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Committee
GOVERNANCE AND PLANNING,Creating bodies/institutions,Educational body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Insitutions
GOVERNANCE AND PLANNING,Creating bodies/institutions,Inter-agency body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Organisation
GOVERNANCE AND PLANNING,Creating bodies/institutions,Planning body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Regulatory body
GOVERNANCE AND PLANNING,Creating bodies/institutions,Strategic body
GOVERNANCE AND PLANNING,Designing processes,Carbon budget
GOVERNANCE AND PLANNING,Designing processes,Guidelines
GOVERNANCE AND PLANNING,Designing processes,Processes
GOVERNANCE AND PLANNING,Designing processes,Protocol
GOVERNANCE AND PLANNING,Developing plans and stratgegies,Adaptation plan
GOVERNANCE AND PLANNING,Developing plans and stratgegies,National strategy
GOVERNANCE AND PLANNING,Developing plans and stratgegies,Plan
GOVERNANCE AND PLANNING,Developing plans and stratgegies,Political strategy
GOVERNANCE AND PLANNING,Developing plans and stratgegies,Strategic plan
GOVERNANCE AND PLANNING,Developing plans and stratgegies,Strategy
GOVERNANCE AND PLANNING,Developing plans and stratgegies,White paper
GOVERNANCE AND PLANNING,Setting targets,Amending target
GOVERNANCE AND PLANNING,Setting targets,Duty to set target
GOVERNANCE AND PLANNING,Setting targets,Legally binding target
GOVERNANCE AND PLANNING,Setting targets,Target
GOVERNANCE AND PLANNING,Multi-level governance,Local authority
GOVERNANCE AND PLANNING,Multi-level governance,Multi-level governance
GOVERNANCE AND PLANNING,Multi-level governance,Municipal government
GOVERNANCE AND PLANNING,Multi-level governance,National government
GOVERNANCE AND PLANNING,Multi-level governance,Sub-national government
INCENTIVES,Incentives (general),IncentivesIncentives 
INCENTIVES,Fiscal or financial incentives,Accelerated depreciation
INCENTIVES,Fiscal or financial incentives,Auction
INCENTIVES,Fiscal or financial incentives,Feed-in tariff
INCENTIVES,Fiscal or financial incentives,Financial incentives
INCENTIVES,Fiscal or financial incentives,Financing structure
INCENTIVES,Fiscal or financial incentives,Fiscal incentives
INCENTIVES,Fiscal or financial incentives,Fossil fuel subsidy
INCENTIVES,Fiscal or financial incentives,Levy
INCENTIVES,Fiscal or financial incentives,Smart subsidy
INCENTIVES,Fiscal or financial incentives,Split incentives
INCENTIVES,Fiscal or financial incentives,Subsidy
INCENTIVES,Fiscal or financial incentives,Tariff
INCENTIVES,Fiscal or financial incentives,Tax advantages
INCENTIVES,Fiscal or financial incentives,Tax credits
INCENTIVES,Fiscal or financial incentives,Tax relief
INCENTIVES,Fiscal or financial incentives,Tax system
INCENTIVES,Fiscal or financial incentives,Taxes
INCENTIVES,Market-based instruments,Cap and trade
INCENTIVES,Market-based instruments,Carbon pricing
INCENTIVES,Market-based instruments,Credits
INCENTIVES,Market-based instruments,Emissions trading
INCENTIVES,Market-based instruments,Market-based instruments
INCENTIVES,Market-based instruments,Permits
REGULATION,Regulation (general),Regulation
REGULATION,Standards and obligations,Codes
REGULATION,Standards and obligations,Equity in adaptation
REGULATION,Standards and obligations,Guideline
REGULATION,Standards and obligations,Licensing
REGULATION,Standards and obligations,Limit
REGULATION,Standards and obligations,Maximum
REGULATION,Standards and obligations,Minimum
REGULATION,Standards and obligations,Regulation
REGULATION,Standards and obligations,Resilient infrastructure policy
REGULATION,Standards and obligations,Specification of grid standards
REGULATION,Standards and obligations,Standards
REGULATION,Standards and obligations,Disclosure
REGULATION,Standards and obligations,Mandates
REGULATION,Standards and obligations,Obligations
REGULATION,Standards and obligations,Responsibility
REGULATION,Standards and obligations,Technical requirements
REGULATION,Monitoring and evaluation,Assessment
REGULATION,Monitoring and evaluation,Auditing 
REGULATION,Monitoring and evaluation,Climate risk
REGULATION,Monitoring and evaluation,Climate vulnerabiliy
REGULATION,Monitoring and evaluation,Disclosure
REGULATION,Monitoring and evaluation,Evaluation
REGULATION,Monitoring and evaluation,Monitoring
REGULATION,Monitoring and evaluation,Reporting
REGULATION,Monitoring and evaluation,Risk screening 
REGULATION,Monitoring and evaluation,Site selection
REGULATION,Management and planning,Management
REGULATION,Management and planning,Methane leak management
REGULATION,Management and planning,Planning
REGULATION,Management and planning,Spatial zoning
REGULATION,Management and planning,Zoning
REGULATION,Labelling and information,Consumer information
REGULATION,Labelling and information,Energy efficiency rating
REGULATION,Labelling and information,Information
REGULATION,Labelling and information,Labelling
REGULATION,Labelling and information,Packaging
REGULATION,Labelling and information,Product information
